name,school,weight,year,seed,wrestler_id,participant_id
john 'jack'|riley,northwestern (il),450,1931,0.0,56854.0,a1006384-5c45-4de6-97ee-51a6480ee1e1
harry|fields,haverford (pa),450,1931,0.0,44424.0,3ce3876f-75d6-4bd6-b132-f9d698286645
carl 'hugh'|errington,kansas state,450,1931,0.0,19000.0,35b10812-2fb1-42f6-b437-ad8bf168d672
joe|mccrary,oklahoma state,450,1931,0.0,56019.0,e058cfdb-33ba-4042-ae28-b444eb60d5b6
joe|puerta,illinois,123,1932,0.0,56158.0,0d76513d-859b-4394-aa1d-af7355b8563f
bobby|pearce,oklahoma state,123,1932,0.0,13472.0,07ea95cc-e0be-4d49-b1dd-1b925abb887c
roland|lillie,iowa state,123,1932,0.0,93252.0,c433092e-dd7d-480a-876f-366f1c199037
ernie|stout,southwestern oklahoma,123,1932,0.0,38202.0,c8762532-6fbd-40cb-9a5e-4b334482cda0
clarence|hawkins,indiana (in),123,1932,0.0,23414.0,e25f4596-39e6-474b-90cc-101233151b10
stanley|ball,michigan state,123,1932,0.0,100297.0,04fd9998-7b9c-42af-a7a5-292d5ba2492e
edwin|belshaw,indiana (in),134,1932,0.0,35689.0,123f572e-69b6-4f49-88a8-58def6e39004
ralph|rasor,oklahoma state,134,1932,0.0,89383.0,a55011c3-c954-47a3-b8ba-a1545940730c
lyle|morford,cornell (ia),134,1932,0.0,72770.0,cb73bbe6-1b25-4b45-a2f1-0440ceb318cc
jack|spencer,northwestern (il),134,1932,0.0,47200.0,9553f552-2609-4128-9c28-38a0b321cd9f
john|brindley,northern iowa,134,1932,0.0,57015.0,c07d1eb8-8948-4166-95e8-14152e078238
curtis|turner,oklahoma,134,1932,0.0,26289.0,b78ce2fc-2f1a-4ca5-a506-d6cda4a973bb
hardie|lewis,oklahoma,145,1932,0.0,44238.0,da5ea3f0-3305-4347-bd73-19c22accb0f4
dale|goings,indiana (in),145,1932,0.0,26737.0,95c400ae-7a4f-43dd-ac39-6581a7a618fb
harry|hall,springfield (ma),145,1932,0.0,44430.0,2d6744d8-5300-4f42-a162-697ed2089e5b
maynard 'spade'|harman,northern iowa,145,1932,0.0,78145.0,a1beaea3-5470-40fc-a229-77b06a958544
felix 'guy'|sappington,missouri,145,1932,0.0,39204.0,7e449b90-3e93-4ce0-b1c6-dd3687c67435
robert|garrigan,northwestern (il),145,1932,0.0,92470.0,5f3323b9-38c5-4dc2-a5c8-1b369c538eea
carl|dougovito,michigan,158,1932,0.0,19037.0,b558989a-2407-4e5d-ac5a-b1d83224832a
max|silverstein,navy (md),158,1932,0.0,77998.0,66991d7b-9b57-4e7a-a421-b14719d3feab
george|martin,iowa state,158,1932,0.0,41814.0,9c53d98b-4034-431b-b02d-7b0692f1cc72
gordon|ellison,cornell (ia),158,1932,0.0,42503.0,9cf73fa5-8f13-4fe1-b123-83e2628cf2b7
albert|place,denver (co),158,1932,0.0,3054.0,05d9eef3-6e48-4836-bf6e-81ac3deb6176
tom|cunningham,oklahoma state,158,1932,0.0,105380.0,c3ab9a47-8694-4315-b90a-8af89c9071a7
,,158,1932,,,f81708e3-b301-4b0d-a820-6fb8be3afb18
robert|hess,iowa state,174,1932,0.0,92513.0,cfe87fe6-4647-4b0a-ae87-821011c89d61
leroy|mcguirk,oklahoma state,174,1932,0.0,70282.0,a1ee7c88-2b61-4bc9-b101-f998aa1fc57a
ambrose|rascher,indiana (in),174,1932,0.0,5409.0,34dd0c91-9665-4bb8-b0fa-bd7bd9155c53
garrett|coleman,navy (md),174,1932,0.0,40740.0,d9689d7e-7bda-4cc5-92c5-67b8d219ac01
ellis|bashara,oklahoma,174,1932,0.0,36520.0,809be800-58a8-40e0-a3c1-ddc7c2850da5
wes|brown jr.,northwestern (il),174,1932,0.0,110501.0,8d7fcc2e-e704-4846-b633-8e2fcbff7f40
joe|sintic,ohio,174,1932,0.0,56269.0,fcd4b5f5-4bee-45e2-b1ee-24c3d115e54d
barney|cosneck,illinois,174,1932,0.0,10369.0,dbfbb51f-36a6-46d3-b88c-b083ddfca14a
kermit|blosser,ohio,191,1932,0.0,65671.0,52193449-2052-4fc2-a523-2cb388d7c2f0
